date (yyyy-mm-dd HH:MM:SS),hypolimnetic density [kg/m3]
19.04.1988 12:00,1000.1152399849879
16.05.1988 12:00,1000.1127804386563
20.06.1988 12:00,1000.1135787555908
18.07.1988 12:00,1000.111099128729
17.08.1988 12:00,1000.1097480453639
19.09.1988 12:00,1000.1040223057867
17.10.1988 12:00,1000.1021073059082
28.11.1988 12:00,1000.0923425522099
19.12.1988 12:00,1000.0910293248663
23.01.1989 12:00,1000.1111134401496
20.02.1989 12:00,1000.1167222538603
20.03.1989 12:00,1000.1056625842764
18.04.1989 12:00,1000.0974626609578
22.05.1989 12:00,1000.0963556072086
19.06.1989 12:00,1000.0962519106731
17.07.1989 12:00,1000.1054560902807
21.08.1989 12:00,1000.0951430205671
18.09.1989 12:00,1000.0940800118103
16.10.1989 12:00,1000.0886606611629
20.11.1989 12:00,1000.0809627290499
20.12.1989 12:00,1000.0931204359064
22.01.1990 12:00,1000.110285279555
19.02.1990 12:00,1000.1086270313536
19.03.1990 12:00,1000.1170472099515
24.04.1990 12:00,1000.098492665037
28.05.1990 12:00,1000.1031802300242
23.07.1990 12:00,1000.1063812642439
20.08.1990 12:00,1000.1016749246726
17.09.1990 12:00,1000.0974881350859
18.10.1990 12:00,1000.0997728409856
22.11.1990 12:00,1000.0922628243777
17.12.1990 12:00,1000.1039644309741
21.01.1991 12:00,1000.1104504055803
18.02.1991 12:00,1000.1290143465179
18.03.1991 12:00,1000.1294725567982
22.04.1991 12:00,1000.112410644139
21.05.1991 12:00,1000.1132252513646
17.06.1991 12:00,1000.1162904733764
15.07.1991 12:00,1000.104987886511
19.08.1991 12:00,1000.1152097046751
16.09.1991 12:00,1000.1045634617619
21.10.1991 12:00,1000.1046915361723
18.11.1991 12:00,1000.1006102984711
16.12.1991 12:00,1000.0995829605835
29.01.1992 12:00,1000.1189068980308
20.02.1992 12:00,1000.1260935691278
16.03.1992 12:00,1000.1283018751454
22.04.1992 12:00,1000.1253372979082
18.05.1992 12:00,1000.115247382839
15.06.1992 12:00,1000.1196240195173
20.07.1992 12:00,1000.1140983102097
17.08.1992 12:00,1000.1078002392111
21.09.1992 12:00,1000.0986924335481
19.10.1992 12:00,1000.1017669716348
16.11.1992 12:00,1000.089181430677
14.12.1992 12:00,1000.0925192525144
18.01.1993 12:00,1000.1084016824989
15.02.1993 12:00,1000.1135828614479
15.03.1993 12:00,1000.119222100083
20.04.1993 12:00,1000.1205816908601
17.05.1993 12:00,1000.1101655224994
21.06.1993 12:00,1000.1114824041706
19.07.1993 12:00,1000.111794656256
16.08.1993 12:00,1000.1087014090716
20.09.1993 12:00,1000.102941233368
18.10.1993 12:00,1000.0912523515507
15.11.1993 12:00,1000.0635895498452
20.12.1993 12:00,1000.0968516745725
17.01.1994 12:00,1000.1025876134812
21.02.1994 12:00,1000.1110721397182
21.03.1994 12:00,1000.1125063426726
20.04.1994 12:00,1000.1041691462171
16.05.1994 12:00,1000.105632077467
22.06.1994 12:00,1000.0770804918665
18.07.1994 12:00,1000.1039154804628
22.08.1994 12:00,1000.1082663485461
19.09.1994 12:00,1000.1038303163101
17.10.1994 12:00,1000.1038523318239
21.11.1994 12:00,1000.0947031963253
19.12.1994 12:00,1000.0938225510766
23.01.1995 12:00,1000.10671403979
20.02.1995 12:00,1000.1075488848048
27.03.1995 12:00,1000.1052413548307
19.04.1995 12:00,1000.1065531609478
17.05.1995 12:00,1000.0879544090628
19.06.1995 12:00,1000.0955627581403
17.07.1995 12:00,1000.1002917481609
21.08.1995 12:00,1000.0946174110258
18.09.1995 12:00,1000.0808388993039
16.10.1995 12:00,1000.0904068914396
20.11.1995 12:00,1000.0477927216949
18.12.1995 12:00,1000.0970047684184
22.01.1996 12:00,1000.1003100778771
19.02.1996 12:00,1000.10600541896
18.03.1996 12:00,1000.1206815652274
22.04.1996 12:00,1000.1166056681764
20.05.1996 12:00,1000.1147925503035
17.06.1996 12:00,1000.0971058466633
15.07.1996 12:00,1000.1076400716374
19.08.1996 12:00,1000.0967158438255
16.09.1996 12:00,1000.0812299454738
23.10.1996 12:00,1000.0983018495068
18.11.1996 12:00,1000.0962074912358
18.12.1996 12:00,1000.0945496268787
20.01.1997 12:00,1000.1187851725408
26.02.1997 12:00,1000.1244180293677
17.03.1997 12:00,1000.1239141455263
14.04.1997 12:00,1000.1131267686658
20.05.1997 12:00,1000.0826112049099
16.06.1997 12:00,1000.1190046630808
21.07.1997 12:00,1000.0975867328976
22.09.1997 12:00,1000.1007727204003
22.10.1997 12:00,1000.1295909046655
17.11.1997 12:00,1000.0956160592124
15.12.1997 12:00,1000.0836602817953
19.01.1998 12:00,1000.0956785422613
16.02.1998 12:00,1000.1058178706825
16.03.1998 12:00,1000.1098928231033
27.04.1998 12:00,1000.1011601905542
25.05.1998 12:00,1000.0980418750046
22.06.1998 12:00,1000.0916573843718
20.07.1998 12:00,1000.0919350196924
17.08.1998 12:00,1000.0959780103439
21.09.1998 12:00,1000.0842969076639
19.10.1998 12:00,1000.0931293426953
16.11.1998 12:00,1000.0776792621433
21.12.1998 12:00,1000.1047992710876
18.01.1999 12:00,1000.1164642407167
15.02.1999 12:00,1000.1315003598872
15.03.1999 12:00,1000.0846750000867
26.04.1999 12:00,1000.1242464611009
17.05.1999 12:00,1000.117153649736
21.06.1999 12:00,1000.1024654718483
19.07.1999 12:00,1000.0933770773904
16.08.1999 12:00,1000.0703807465569
20.09.1999 12:00,1000.0928073674389
18.10.1999 12:00,1000.1023277496006
15.11.1999 12:00,1000.0777139794984
20.12.1999 12:00,1000.0904610111932
17.01.2000 12:00,1000.1022190172253
21.02.2000 12:00,1000.1189635876126
20.03.2000 12:00,1000.1142644558043
17.04.2000 12:00,1000.1120995508155
22.05.2000 12:00,1000.1014372993775
26.06.2000 12:00,1000.1019408551659
17.07.2000 12:00,1000.1034557289756
21.08.2000 12:00,1000.0970073163512
18.09.2000 12:00,1000.0856615962671
16.10.2000 12:00,1000.0954586234989
20.11.2000 12:00,1000.0764136454986
18.12.2000 12:00,1000.0691677328774
16.02.2004 12:00,1000.1250719493288
17.05.2004 12:00,1000.1180566614322
16.08.2004 12:00,1000.1119824922608
15.11.2004 12:00,1000.1107325516431
15.03.2005 12:00,1000.1293220166544
23.05.2005 12:00,1000.1238061329622
22.08.2005 12:00,1000.1223143913356
21.11.2005 12:00,1000.0999526229735
20.02.2006 12:00,1000.130949429104
22.05.2006 12:00,1000.1235398219551
21.08.2006 12:00,1000.1191701212553
20.11.2006 12:00,1000.0951729274249
19.02.2007 12:00,1000.1121311232598
23.05.2007 12:00,1000.0999478178021
20.08.2007 12:00,1000.0980179485149
19.11.2007 12:00,1000.0854150299041
18.02.2008 12:00,1000.1113295098696
02.06.2008 12:00,1000.1095157087796
18.08.2008 12:00,1000.1015686429461
17.11.2008 12:00,1000.0738090097786
16.02.2009 12:00,1000.1158684266179
25.05.2009 12:00,1000.1141833566786
17.08.2009 12:00,1000.1024356427856
16.11.2009 12:00,1000.0998021577095
15.02.2010 12:00,1000.1203841993336
10.05.2010 12:00,1000.1175020803526
16.08.2010 12:00,1000.1044567734128
15.11.2010 12:00,1000.0954963714667
21.02.2011 12:00,1000.1192466055021
16.05.2011 12:00,1000.1113262585026
22.08.2011 12:00,1000.1047050016263
21.11.2011 12:00,1000.0852055066798
20.02.2012 12:00,1000.1232680863085
14.05.2012 12:00,1000.1104743427755
27.08.2012 12:00,1000.1017483946093
19.11.2012 12:00,1000.0904064155151
18.02.2013 12:00,1000.1176273113203
21.05.2013 12:00,1000.1121772658606
19.08.2013 12:00,1000.1046407340799
18.11.2013 12:00,1000.0968608040515
17.02.2014 12:00,1000.108646363235
19.05.2014 12:00,1000.1004074734889
18.08.2014 12:00,1000.0933338958772
17.11.2014 12:00,1000.0587940902631
16.02.2015 12:00,1000.10914413939
18.05.2015 12:00,1000.100871921085
17.08.2015 12:00,1000.0977828628552
16.11.2015 12:00,1000.0905394195877
15.02.2016 12:00,1000.0997049432387
25.05.2016 12:00,1000.0873542619789
22.08.2016 12:00,1000.083324136463
28.11.2016 12:00,1000.0664278913671
02.03.2017 12:00,1000.1097002437585
29.05.2017 12:00,1000.0993269584247
21.08.2017 12:00,1000.0951262192795
20.11.2017 12:00,1000.0791913128437
19.02.2018 12:00,1000.1106347910969
28.05.2018 12:00,1000.1061223517569
20.08.2018 12:00,1000.1009700792193
26.11.2018 12:00,1000.096203159236
18.02.2019 12:00,1000.1132602142338
20.05.2019 12:00,1000.0960424331146
19.08.2019 12:00,1000.0752307761782
18.11.2019 12:00,1000.0724820060228
17.02.2020 12:00,1000.0890482935135
18.05.2020 12:00,1000.0866601250608
17.08.2020 12:00,1000.0778425522975
16.11.2020 12:00,1000.055295462249
15.02.2021 12:00,1000.1036611607692
31.05.2021 12:00,1000.0888743899663
16.08.2021 12:00,1000.0425502450474
08.09.2021 12:00,1000.081487958803
22.11.2021 12:00,1000.0680367662598
02.03.2022 12:00,1000.1062173616267
16.05.2022 12:00,1000.0963838549662
22.08.2022 12:00,1000.0975359559458
21.11.2022 12:00,1000.0943317811711
20.02.2023 12:00,1000.1007255125874
22.05.2023 12:00,1000.0937333529121
21.08.2023 12:00,1000.0888784113397
20.11.2023 12:00,1000.0560660437732
