date (yyyy-mm-dd HH:MM:SS),heat content [J/m2]
06.06.1995 12:00,2801561768.0
20.06.1995 12:00,2979574226.0
18.07.1995 12:00,3089473195.0
01.08.1995 12:00,3168122998.0
15.08.1995 12:00,3152850638.0
05.09.1995 12:00,3051208034.0
10.10.1995 12:00,2978601425.0
07.11.1995 12:00,2919277727.0
21.11.1995 12:00,2989877955.0
05.12.1995 12:00,2559263136.0
19.12.1995 12:00,2443041749.0
09.01.1996 12:00,2282030734.0
24.01.1996 12:00,2117805673.0
06.02.1996 12:00,2005250904.0
05.03.1996 12:00,1896981979.0
19.03.1996 12:00,1906632882.0
09.04.1996 12:00,2006839818.0
07.05.1996 12:00,2218504137.0
21.05.1996 12:00,2286362584.0
11.06.1996 12:00,2755765326.0
25.06.1996 12:00,2745520174.0
09.07.1996 12:00,2561598998.0
23.07.1996 12:00,2561598998.0
06.08.1996 12:00,3008140146.0
20.08.1996 12:00,3117924679.0
03.09.1996 12:00,3004106889.0
16.09.1996 12:00,3238935560.0
08.10.1996 12:00,2847015394.0
22.10.1996 12:00,2829190523.0
05.11.1996 12:00,2635777795.0
20.11.1996 12:00,2695689098.0
03.12.1996 12:00,2506179889.0
17.12.1996 12:00,2392262332.0
07.01.1997 12:00,2030976140.0
21.01.1997 12:00,1868584670.0
04.02.1997 12:00,1840790141.0
18.02.1997 12:00,1810282477.0
04.03.1997 12:00,1879630429.0
18.03.1997 12:00,1968211549.0
08.04.1997 12:00,2069807441.0
22.04.1997 12:00,2194538855.0
05.05.1997 12:00,2304475069.0
20.05.1997 12:00,2494738137.0
03.06.1997 12:00,2714250109.0
17.06.1997 12:00,2825395638.0
01.07.1997 12:00,2890638236.0
15.07.1997 12:00,2968454382.0
05.08.1997 12:00,3031441898.0
19.08.1997 12:00,3049086588.0
02.09.1997 12:00,3068319173.0
16.09.1997 12:00,3056796916.0
07.10.1997 12:00,2994905112.0
21.10.1997 12:00,2824958294.0
04.11.1997 12:00,2627860959.0
18.11.1997 12:00,2722051898.0
02.12.1997 12:00,2572040156.0
16.12.1997 12:00,2530791197.0
07.01.1998 12:00,2249097511.0
22.01.1998 12:00,2264527673.0
03.02.1998 12:00,2048647344.0
17.02.1998 12:00,2012463822.0
03.03.1998 12:00,2000672637.0
17.03.1998 12:00,2047221393.0
06.04.1998 12:00,2143493798.0
21.04.1998 12:00,2311554123.0
05.05.1998 12:00,2416741907.0
19.05.1998 12:00,2720723008.0
02.06.1998 12:00,2775679925.0
16.06.1998 12:00,2899659234.0
06.07.1998 12:00,2857949836.0
21.07.1998 12:00,3012757357.0
04.08.1998 12:00,3087505823.0
18.08.1998 12:00,3264067600.0
01.09.1998 12:00,3012599808.0
16.09.1998 12:00,3257798840.0
06.10.1998 12:00,2949492728.0
20.10.1998 12:00,2946314615.0
04.11.1998 12:00,2528862366.0
17.11.1998 12:00,2549112912.0
01.12.1998 12:00,2460785514.0
15.12.1998 12:00,2394682182.0
14.01.1999 12:00,2158781000.0
26.01.1999 12:00,2152219693.0
09.02.1999 12:00,2015555123.0
24.02.1999 12:00,1883489382.0
09.03.1999 12:00,1901796577.0
23.03.1999 12:00,1961868592.0
06.04.1999 12:00,2077882098.0
20.04.1999 12:00,2040882331.0
04.05.1999 12:00,2260169096.0
18.05.1999 12:00,2365398065.0
08.06.1999 12:00,2511331876.0
22.06.1999 12:00,2532375330.0
06.07.1999 12:00,2792033482.0
20.07.1999 12:00,2850722862.0
03.08.1999 12:00,2841172617.0
17.08.1999 12:00,2936689293.0
07.09.1999 12:00,2920201044.0
21.09.1999 12:00,2921120049.0
05.10.1999 12:00,2820433776.0
19.10.1999 12:00,2779564036.0
02.11.1999 12:00,2802600093.0
16.11.1999 12:00,2639392934.0
30.11.1999 12:00,2323980955.0
14.12.1999 12:00,2171007006.0
11.01.2000 12:00,2054110610.0
25.01.2000 12:00,1970097075.0
08.02.2000 12:00,1936630593.0
22.02.2000 12:00,1901969530.0
07.03.2000 12:00,1908671327.0
21.03.2000 12:00,1980956663.0
04.04.2000 12:00,2021626678.0
18.04.2000 12:00,2172004225.0
02.05.2000 12:00,2329628511.0
16.05.2000 12:00,2619644773.0
07.06.2000 12:00,2614065781.0
19.06.2000 12:00,2851959125.0
04.07.2000 12:00,2898366068.0
01.08.2000 12:00,3034890017.0
29.08.2000 12:00,2984679718.0
11.10.2000 12:00,2902446443.0
24.10.2000 12:00,2881410605.0
07.11.2000 12:00,2664822472.0
21.11.2000 12:00,2635308587.0
05.12.2000 12:00,2623315199.0
19.12.2000 12:00,2571337724.0
09.01.2001 12:00,2318402324.0
23.01.2001 12:00,2228381743.0
07.02.2001 12:00,2177060673.0
20.02.2001 12:00,2140803638.0
06.03.2001 12:00,2093676416.0
20.03.2001 12:00,2126442496.0
03.04.2001 12:00,2323655173.0
18.04.2001 12:00,2308137430.0
02.05.2001 12:00,2490993934.0
15.05.2001 12:00,2658816127.0
05.06.2001 12:00,2869638830.0
19.06.2001 12:00,2588680416.0
03.07.2001 12:00,2977219436.0
17.07.2001 12:00,3119325164.0
07.08.2001 12:00,3185777836.0
21.08.2001 12:00,3129354570.0
11.09.2001 12:00,3016775895.0
25.09.2001 12:00,3133943256.0
09.10.2001 12:00,3036726984.0
23.10.2001 12:00,3118657550.0
06.11.2001 12:00,2992608822.0
20.11.2001 12:00,2686063410.0
04.12.2001 12:00,2696751139.0
18.12.2001 12:00,2424225190.0
08.01.2002 12:00,2120817879.0
22.01.2002 12:00,2032407170.0
05.02.2002 12:00,2060721384.0
19.02.2002 12:00,2016965599.0
05.03.2002 12:00,2024888904.0
19.03.2002 12:00,2162715093.0
09.04.2002 12:00,2341104574.0
23.04.2002 12:00,2407062499.0
07.05.2002 12:00,2519035278.0
04.06.2002 12:00,2888365808.0
18.06.2002 12:00,2921033176.0
02.07.2002 12:00,3048257144.0
06.08.2002 12:00,3157970087.0
20.08.2002 12:00,3172902650.0
03.09.2002 12:00,3209616921.0
17.09.2002 12:00,3148610753.0
08.10.2002 12:00,3038768281.0
22.10.2002 12:00,2965083734.0
05.11.2002 12:00,2797366588.0
19.11.2002 12:00,2904020827.0
03.12.2002 12:00,2780510602.0
17.12.2002 12:00,2685124104.0
08.01.2003 12:00,2548761071.0
21.01.2003 12:00,2337814035.0
04.02.2003 12:00,2158101064.0
18.02.2003 12:00,2020483087.0
04.03.2003 12:00,1997674858.0
18.03.2003 12:00,2029498626.0
07.04.2003 12:00,2150320796.0
22.04.2003 12:00,2303128895.0
05.05.2003 12:00,2477100426.0
21.05.2003 12:00,2508167727.0
02.06.2003 12:00,2708034871.0
17.06.2003 12:00,2768884963.0
30.06.2003 12:00,2957918859.0
15.07.2003 12:00,3008842828.0
04.08.2003 12:00,3112626744.0
19.08.2003 12:00,3333304963.0
08.09.2003 12:00,3077307523.0
06.10.2003 12:00,2590270430.0
20.10.2003 12:00,2603656869.0
03.11.2003 12:00,2772342758.0
18.11.2003 12:00,2580263256.0
01.12.2003 12:00,2573150026.0
12.01.2004 12:00,2209750615.0
03.02.2004 12:00,2047894821.0
16.02.2004 12:00,2015037319.0
02.03.2004 12:00,1939639415.0
16.03.2004 12:00,1953676325.0
30.03.2004 12:00,1984837134.0
13.04.2004 12:00,2132847143.0
03.05.2004 12:00,2381051373.0
17.05.2004 12:00,2446347809.0
07.06.2004 12:00,2633086593.0
21.06.2004 12:00,2645825678.0
05.07.2004 12:00,2783849340.0
19.07.2004 12:00,2901854496.0
02.08.2004 12:00,2985727948.0
06.09.2004 12:00,3019025368.0
04.10.2004 12:00,2824171062.0
02.11.2004 12:00,2790148466.0
06.12.2004 12:00,2370839196.0
10.01.2005 12:00,2168765114.0
31.01.2005 12:00,1972997925.0
21.02.2005 12:00,1925249919.0
07.03.2005 12:00,1819481789.0
21.03.2005 12:00,1843530397.0
04.04.2005 12:00,1976526269.0
18.04.2005 12:00,1968082251.0
02.05.2005 12:00,2126347654.0
17.05.2005 12:00,2211225771.0
06.06.2005 12:00,2440696203.0
20.06.2005 12:00,2636489353.0
04.07.2005 12:00,2751702798.0
18.07.2005 12:00,2776279373.0
01.08.2005 12:00,2883274467.0
15.08.2005 12:00,2722288249.0
05.09.2005 12:00,2892915236.0
20.09.2005 12:00,2809419486.0
