date (yyyy-mm-dd HH:MM:SS),thermocline depth [m]
16.08.2022 12:00,14.9
19.09.2022 12:00,15.0
17.10.2022 12:00,20.5
15.11.2022 12:00,25.2
12.12.2022 12:00,38.7
16.01.2023 12:00,39.8
13.03.2023 12:00,36.2
17.04.2023 12:00,33.5
15.05.2023 12:00,13.7
12.06.2023 12:00,10.7
17.07.2023 12:00,13.2
09.08.2023 12:00,15.1
29.08.2023 12:00,23.6
09.10.2023 12:00,18.1
13.11.2023 12:00,36.3
11.12.2023 12:00,42.0
