date (yyyy-mm-dd HH:MM:SS),thermocline depth [m]
19.10.2021 12:00,11.0
17.11.2021 12:00,12.4
23.03.2022 12:00,2.3
20.04.2022 12:00,8.3
23.05.2022 12:00,4.4
22.06.2022 12:00,6.6
20.07.2022 12:00,8.3
24.08.2022 12:00,9.0
21.09.2022 12:00,11.4
19.10.2022 12:00,12.0
16.11.2022 12:00,13.6
12.12.2022 12:00,27.1
22.03.2023 12:00,0.8
19.04.2023 12:00,8.6
24.05.2023 12:00,7.7
20.06.2023 12:00,6.9
19.07.2023 12:00,8.3
21.08.2023 12:00,9.5
20.09.2023 12:00,10.4
18.10.2023 12:00,11.0
15.11.2023 12:00,13.6
