date (yyyy-mm-dd HH:MM:SS),hypolimnetic density [kg/m3]
09.11.2004 12:00,1000.0598475074531
07.12.2004 12:00,1000.061930946649
11.01.2005 12:00,1000.0652850661988
18.02.2005 12:00,1000.0738378070306
15.03.2005 12:00,1000.0766275031349
12.04.2005 12:00,1000.0761235369442
20.05.2005 12:00,1000.0756266165163
14.06.2005 12:00,1000.0740499419187
12.07.2005 12:00,1000.0739538968332
09.08.2005 12:00,1000.0735942923673
13.09.2005 12:00,1000.0619848657916
11.10.2005 12:00,1000.0610794895725
08.11.2005 12:00,1000.0610812111341
06.12.2005 12:00,1000.0590228100637
10.01.2006 12:00,1000.0683020938675
21.02.2006 12:00,1000.0758788087963
21.03.2006 12:00,1000.0777524420204
11.04.2006 12:00,1000.077728578134
09.05.2006 12:00,1000.0771606748237
12.06.2006 12:00,1000.0752066287367
11.07.2006 12:00,1000.0730178051482
15.08.2006 12:00,1000.0709784435469
12.09.2006 12:00,1000.0700200512847
10.10.2006 12:00,1000.0684082612026
14.11.2006 12:00,1000.0668117967722
12.12.2006 12:00,1000.0643352146617
16.01.2007 12:00,1000.0690647460663
13.02.2007 12:00,1000.0702974953864
13.03.2007 12:00,1000.070701443006
11.04.2007 12:00,1000.0702652396106
08.05.2007 12:00,1000.0700834160061
12.06.2007 12:00,1000.0690669727604
10.07.2007 12:00,1000.0618729085317
07.08.2007 12:00,1000.0607720880331
11.09.2007 12:00,1000.0584718702183
09.10.2007 12:00,1000.0572355354715
06.11.2007 12:00,1000.0568056608452
11.12.2007 12:00,1000.0571282452518
25.01.2008 12:00,1000.0649077590853
19.02.2008 12:00,1000.0683298335555
18.03.2008 12:00,1000.0683879202227
15.04.2008 12:00,1000.0680611462435
20.05.2008 12:00,1000.0661841100755
10.06.2008 12:00,1000.0617260857482
08.07.2008 12:00,1000.062598933096
05.08.2008 12:00,1000.0556927882948
09.09.2008 12:00,1000.0506203272444
14.10.2008 12:00,1000.0472707771396
