date (yyyy-mm-dd HH:MM:SS),surface oxygen concentration [mg/L]
19.05.2014 12:00,14.2
16.06.2014 12:00,13.9
21.07.2014 12:00,13.1
25.08.2014 12:00,9.2
22.09.2014 12:00,9.9
20.10.2014 12:00,9.8
17.11.2014 12:00,9.4
15.12.2014 12:00,10.0
26.01.2015 12:00,7.3
23.02.2015 12:00,4.9
23.03.2015 12:00,10.7
27.04.2015 12:00,12.5
26.05.2015 12:00,11.7
22.06.2015 12:00,12.5
27.07.2015 12:00,10.6
24.08.2015 12:00,9.9
21.09.2015 12:00,9.1
19.10.2015 12:00,9.1
16.11.2015 12:00,8.6
14.12.2015 12:00,7.9
25.01.2016 12:00,5.6
23.02.2016 12:00,7.8
21.03.2016 12:00,12.2
18.04.2016 12:00,12.1
23.05.2016 12:00,12.3
20.06.2016 12:00,13.1
25.07.2016 12:00,13.6
22.08.2016 12:00,8.7
19.09.2016 12:00,9.2
17.10.2016 12:00,8.2
21.11.2016 12:00,7.7
19.12.2016 12:00,7.3
23.01.2017 12:00,4.1
20.02.2017 12:00,5.2
20.03.2017 12:00,13.0
24.04.2017 12:00,10.2
22.05.2017 12:00,13.5
19.06.2017 12:00,14.5
24.07.2017 12:00,14.3
21.08.2017 12:00,10.6
18.09.2017 12:00,8.0
23.10.2017 12:00,10.0
20.11.2017 12:00,8.3
19.12.2017 12:00,7.1
22.01.2018 12:00,7.1
19.02.2018 12:00,5.4
20.03.2018 12:00,7.9
23.04.2018 12:00,15.3
22.05.2018 12:00,10.8
18.06.2018 12:00,10.9
23.07.2018 12:00,10.9
20.08.2018 12:00,9.5
17.09.2018 12:00,10.9
15.10.2018 12:00,8.9
19.11.2018 12:00,8.4
17.12.2018 12:00,8.5
22.01.2019 12:00,5.4
19.02.2019 12:00,8.1
20.03.2019 12:00,10.6
16.04.2019 12:00,12.1
21.05.2019 12:00,12.2
17.06.2019 12:00,10.8
23.07.2019 12:00,9.8
27.08.2019 12:00,9.8
17.09.2019 12:00,10.0
15.10.2019 12:00,10.4
19.11.2019 12:00,9.8
17.12.2019 12:00,8.7
21.01.2020 12:00,9.1
18.02.2020 12:00,9.6
16.03.2020 12:00,13.2
09.04.2020 12:00,12.6
18.05.2020 12:00,11.9
23.06.2020 12:00,12.1
21.07.2020 12:00,10.8
18.08.2020 12:00,10.8
22.09.2020 12:00,10.3
20.10.2020 12:00,9.0
17.11.2020 12:00,10.0
15.12.2020 12:00,8.5
13.01.2021 12:00,7.0
03.02.2021 12:00,5.8
10.03.2021 12:00,12.4
15.04.2021 12:00,9.9
05.05.2021 12:00,11.1
09.06.2021 12:00,11.1
07.07.2021 12:00,10.1
04.08.2021 12:00,9.8
01.09.2021 12:00,10.2
06.10.2021 12:00,8.7
10.11.2021 12:00,9.0
01.12.2021 12:00,9.0
11.01.2022 12:00,4.9
09.02.2022 12:00,5.7
09.03.2022 12:00,8.0
06.04.2022 12:00,11.4
04.05.2022 12:00,11.0
01.06.2022 12:00,10.4
06.07.2022 12:00,10.0
04.08.2022 12:00,10.3
07.09.2022 12:00,10.0
05.10.2022 12:00,9.6
09.11.2022 12:00,9.5
06.12.2022 12:00,9.1
12.01.2023 12:00,8.2
08.02.2023 12:00,6.3
08.03.2023 12:00,11.5
05.04.2023 12:00,11.3
04.05.2023 12:00,12.1
01.06.2023 12:00,11.1
05.07.2023 12:00,10.3
03.08.2023 12:00,11.2
06.09.2023 12:00,11.8
04.10.2023 12:00,10.9
08.11.2023 12:00,8.3
06.12.2023 12:00,8.5
