Stationsnummer;Stationsname;Datum;Uhrzeit;Tiefe;Endtiefe;Parametername;Analysemethode;Wert;Einheit;Bestimmungsgrenze;Nachweisgrenze;Qualitaet;Status;aenderungsbemerkung
1643;Hallwilersee - Tiefste Stelle;01.04.1970;09:00:00;40;;Sauerstoff;;9.4;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;01.04.1970;09:00:00;40;;Wassertemperatur;;3.8;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;01.04.1970;09:00:00;44;;Elektrische Leitfaehigkeit;;362.2;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;01.04.1970;09:00:00;44;;Sauerstoff;;9.1;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;01.04.1970;09:00:00;44;;Wassertemperatur;;3.8;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;01.04.1970;09:00:00;5;;Elektrische Leitfaehigkeit;;355.5;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;01.04.1970;09:00:00;5;;Sauerstoff;;9.5;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;01.04.1970;09:00:00;5;;Wassertemperatur;;3.8;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;01.04.1970;09:00:00;7.5;;Elektrische Leitfaehigkeit;;355.5;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;01.04.1970;09:00:00;7.5;;Sauerstoff;;9.4;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;01.04.1970;09:00:00;7.5;;Wassertemperatur;;3.8;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;0;;Elektrische Leitfaehigkeit;;290.7;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;0;;Sauerstoff;;14.1;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;0;;Secchi;;2;m;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;0;;Wassertemperatur;;21.4;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;10;;Elektrische Leitfaehigkeit;;366.7;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;10;;Sauerstoff;;4.7;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;10;;Wassertemperatur;;8.5;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;20;;Elektrische Leitfaehigkeit;;362.2;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;20;;Sauerstoff;;6.7;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;20;;Wassertemperatur;;5.1;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;30;;Elektrische Leitfaehigkeit;;362.2;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;30;;Sauerstoff;;6.8;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;30;;Wassertemperatur;;4.6;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;40;;Elektrische Leitfaehigkeit;;366.7;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;40;;Sauerstoff;;0.9;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;40;;Wassertemperatur;;4.6;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;44;;Elektrische Leitfaehigkeit;;366.7;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;44;;Sauerstoff;;0.9;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;44;;Wassertemperatur;;4.5;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;5;;Elektrische Leitfaehigkeit;;310.8;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;5;;Sauerstoff;;13;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;07.07.1970;09:30:00;5;;Wassertemperatur;;18.7;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;0;;Elektrische Leitfaehigkeit;;288.4;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;0;;Sauerstoff;;9.1;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;0;;Secchi;;4.4;m;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;0;;Wassertemperatur;;15.6;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;10;;Elektrische Leitfaehigkeit;;368.9;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;10;;Sauerstoff;;0.4;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;10;;Wassertemperatur;;10;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;15;;Elektrische Leitfaehigkeit;;363.4;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;15;;Sauerstoff;;4;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;15;;Wassertemperatur;;6.2;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;2.5;;Elektrische Leitfaehigkeit;;288.4;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;2.5;;Sauerstoff;;8.9;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;2.5;;Wassertemperatur;;15.6;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;20;;Elektrische Leitfaehigkeit;;360;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;20;;Sauerstoff;;4.4;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;20;;Wassertemperatur;;5;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;30;;Elektrische Leitfaehigkeit;;363.4;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;30;;Sauerstoff;;0.4;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;30;;Wassertemperatur;;4.6;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;40;;Elektrische Leitfaehigkeit;;372.3;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;40;;Sauerstoff;;0.4;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;40;;Wassertemperatur;;4.4;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;44;;Elektrische Leitfaehigkeit;;384.6;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;44;;Sauerstoff;;0.2;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;44;;Wassertemperatur;;4.4;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;5;;Elektrische Leitfaehigkeit;;288.4;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;5;;Sauerstoff;;8.7;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;5;;Wassertemperatur;;15.4;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;7.5;;Elektrische Leitfaehigkeit;;292.9;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;7.5;;Sauerstoff;;8.6;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;08.10.1970;09:30:00;7.5;;Wassertemperatur;;15.2;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;0;;Elektrische Leitfaehigkeit;;322;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;0;;Sauerstoff;;11.7;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;0;;Secchi;;2.4;m;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;0;;Wassertemperatur;;3.6;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;10;;Elektrische Leitfaehigkeit;;326.5;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;10;;Sauerstoff;;11.6;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;10;;Wassertemperatur;;3.2;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;15;;Elektrische Leitfaehigkeit;;326.5;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;15;;Sauerstoff;;11.6;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;15;;Wassertemperatur;;3.2;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;20;;Elektrische Leitfaehigkeit;;326.5;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;20;;Sauerstoff;;11.3;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;20;;Wassertemperatur;;3.2;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;30;;Elektrische Leitfaehigkeit;;334.3;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;30;;Sauerstoff;;4.4;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;30;;Wassertemperatur;;3.2;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;40;;Elektrische Leitfaehigkeit;;344.3;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;40;;Sauerstoff;;1.8;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;40;;Wassertemperatur;;3.8;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;44;;Elektrische Leitfaehigkeit;;354.4;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;44;;Sauerstoff;;1.7;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;44;;Wassertemperatur;;4;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;5;;Elektrische Leitfaehigkeit;;326.5;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;5;;Sauerstoff;;11.7;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;29.03.1971;09:30:00;5;;Wassertemperatur;;3.2;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;0;;Elektrische Leitfaehigkeit;;269.4;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;0;;Sauerstoff;;13.1;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;0;;Secchi;;2.6;m;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;0;;Wassertemperatur;;20.9;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;10;;Elektrische Leitfaehigkeit;;329.8;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;10;;Sauerstoff;;4.8;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;10;;Wassertemperatur;;9.5;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;20;;Elektrische Leitfaehigkeit;;325.3;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;20;;Sauerstoff;;3.4;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;20;;Wassertemperatur;;5.2;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;30;;Elektrische Leitfaehigkeit;;334.3;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;30;;Sauerstoff;;0.3;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;30;;Wassertemperatur;;5;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;40;;Elektrische Leitfaehigkeit;;352.2;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;40;;Sauerstoff;;0;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;40;;Wassertemperatur;;5;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;44;;Elektrische Leitfaehigkeit;;358.9;uS/cm;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;44;;Sauerstoff;;0;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;05.07.1971;09:30:00;44;;Wassertemperatur;;5;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;21.09.1971;10:48:00;0;;Sauerstoff;;10;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;21.09.1971;10:48:00;0;;Secchi;;4.4;m;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;21.09.1971;10:48:00;0;;Wassertemperatur;;17.1;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;21.09.1971;10:48:00;10;;Sauerstoff;;7;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;21.09.1971;10:48:00;10;;Wassertemperatur;;10.5;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;21.09.1971;10:48:00;15;;Sauerstoff;;5.9;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;21.09.1971;10:48:00;15;;Wassertemperatur;;6.6;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;21.09.1971;10:48:00;20;;Sauerstoff;;2.8;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;21.09.1971;10:48:00;20;;Wassertemperatur;;5.9;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;21.09.1971;10:48:00;30;;Sauerstoff;;0.2;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;21.09.1971;10:48:00;30;;Wassertemperatur;;5.2;C;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;21.09.1971;10:48:00;40;;Sauerstoff;;0;mg/l;;;plausibel;Freigegeben_ validierte Daten;
1643;Hallwilersee - Tiefste Stelle;21.09.1971;10:48:00;40;;Wassertemperatur;;5;C;;;plausibel;Freigegeben_ validierte Daten;
