date (yyyy-mm-dd HH:MM:SS),hypolimnetic density [kg/m3]
16.07.1969 12:00,1000.1387156943305
12.08.1969 12:00,1000.1381517571734
16.09.1969 12:00,1000.1319721493912
13.11.1969 12:00,1000.1060820337758
15.01.1970 12:00,1000.1433388819871
17.02.1970 12:00,1000.1455632152333
19.03.1970 12:00,1000.1443317014863
15.04.1970 12:00,1000.1575647492027
13.05.1970 12:00,1000.1356650616009
16.06.1970 12:00,1000.1349036565508
17.07.1970 12:00,1000.1462159217696
12.08.1970 12:00,1000.1424810736289
15.09.1970 12:00,1000.1454158096218
13.10.1970 12:00,1000.1354089067748
17.11.1970 12:00,1000.1211092937599
12.12.1970 12:00,1000.1451194984405
19.01.1971 12:00,1000.150570524569
16.02.1971 12:00,1000.1423582434559
16.03.1971 12:00,1000.1479370710597
20.04.1971 12:00,1000.1545933513258
18.05.1971 12:00,1000.1526523400938
15.06.1971 12:00,1000.1550982032359
20.07.1971 12:00,1000.1521237504052
17.08.1971 12:00,1000.1520177052219
14.09.1971 12:00,1000.1423142064328
19.10.1971 12:00,1000.1466097768351
17.11.1971 12:00,1000.1427420520815
14.12.1971 12:00,1000.1168468055392
18.01.1972 12:00,1000.1350895821955
15.02.1972 12:00,1000.1383429974146
14.03.1972 12:00,1000.1389212619795
18.04.1972 12:00,1000.1309189860427
16.05.1972 12:00,1000.1232467509346
19.06.1972 12:00,1000.1146912442425
17.07.1972 12:00,1000.1219554468402
22.08.1972 12:00,1000.1187956496287
18.09.1972 12:00,1000.1195000191734
18.10.1972 12:00,1000.1264567158379
23.11.1972 12:00,1000.1021823152728
11.12.1972 12:00,1000.1004559039492
16.01.1973 12:00,1000.1462320377726
14.02.1973 12:00,1000.1371407149996
12.03.1973 12:00,1000.142977561869
10.04.1973 12:00,1000.1403799147126
14.05.1973 12:00,1000.140731082872
12.06.1973 12:00,1000.138191739166
16.07.1973 12:00,1000.1368545707749
20.08.1973 12:00,1000.1326291706059
17.09.1973 12:00,1000.1219733246373
16.10.1973 12:00,1000.1124793027967
13.11.1973 12:00,1000.1332481717011
10.12.1973 12:00,1000.1192729972524
14.01.1974 12:00,1000.1327985729707
18.02.1974 12:00,1000.131661347439
18.03.1974 12:00,1000.1379923869098
22.04.1974 12:00,1000.1338358174856
13.05.1974 12:00,1000.1246713765015
