gauge_id,sensor_id,nawaf_id,nawat_id,isot_id,chirp_id,gauge_name,water_body_name,gauge_easting,gauge_northing,gauge_lon,gauge_lat,area,area_swiss_perc,Q,level,gauge_name_nawaf,gauge_easting_nawaf,gauge_northing_nawaf,area_nawaf,foen_nawaf_dist,gauge_name_nawat,gauge_easting_nawat,gauge_northing_nawat,area_nawat,foen_nawat_dist,q_nawat_corrector,remarks
2480,,,1476.0,,,Boudry,Areuse,2554350,1199940,6.84,46.95,377.7,100.0,ok,ok,,,,,,"Boudry, Brücke",2554370.0,1199950.0,377.675056086,0.0,1.0,Station moved in 1982?
2481,2481.0,,5045.0,,,"Buochs, Flugplatz",Engelberger Aa,2673555,1202870,8.41,46.97,228.0,100.0,ok,ok,,,,,,Oberdorf Ennerberg,2672150.0,1201800.0,227.996938038,1.9,1.0,Station moved in 1983?
2485,2485.0,,1514.0,,,"Boncourt, Frontière",Allaine,2567830,1261200,7.01,47.5,212.0,97.4,ok,ok,,,,,,Boncourt,2567825.0,1261000.0,212.017269429,0.2,1.0,
2486,,,1528.0,,,"Vevey, Copet",Veveyse,2554675,1146565,6.85,46.47,64.5,100.0,ok,ok,,,,,,Vevey,2553703.0,1145714.0,64.9976438318,1.4,1.008,
2488,,,1919.0,,,Latterbach,Simme,2610680,1167840,7.58,46.66,563.2,100.0,ok,ok,,,,,,Latterbach,2612505.0,1168441.0,568.657967622,2.0,1.01,
2493,2493.0,,2123.0,,,"Gland, Route Suisse",Promenthouse,2510080,1140080,6.27,46.41,119.8,100.0,ok,ok,,,,,,Le Rancho,2510118.0,1140026.0,119.773318499,0.0,1.0,
2500,2500.0,,,,,Ittigen,Worble,2603005,1202455,7.48,46.97,67.1,100.0,ok,ok,,,,,,,,,,,,
2604,2604.0,,,,2604.0,Biberbrugg,Biber,2697240,1223280,8.72,47.15,31.9,100.0,ok,ok,,,,,,,,,,,,
2606,2606.0,,,,,"Genève, Halle de l'Île",Rhône,2499890,1117850,6.14,46.2,8002.1,92.1,ok,,,,,,,,,,,,,level from differenz other stations (Email von Silvia Morf 20.12.23)
2608,2608.0,1246.0,,,,Neuenkirch,Sellenbodenbach,2658530,1218290,8.21,47.11,10.4,100.0,ok,ok,Neuenkirch,2658530.0,1218290.0,10.4,0.0,,,,,,,
2609,2609.0,,,,2609.0,Einsiedeln,Alp,2698640,1223020,8.74,47.15,46.7,100.0,ok,ok,,,,,,,,,,,,
2610,,,6057.0,,,Vicques,Scheulte,2599485,1244150,7.43,47.35,72.7,100.0,ok,ok,,,,,,Vicques,2599485.0,1244150.0,72.69583957639999,0.0,1.0,
2612,2612.0,,,,,Lavertezzo,Riale di Pincascia,2708060,1123950,8.84,46.26,44.5,100.0,ok,ok,,,,,,,,,,,,Station moved in 2014?
2613,2613.0,2078.0,2078.0,NIO08,,"Weil, Palmrainbrücke (D)",Rhein,2611740,1272310,7.59,47.6,36404.4,78.6,ok,,"Weil, Palmrainbrücke",2611740.0,1272310.0,36404.4,7.2,"Weil, Palmrainbrücke",2611740.0,1272310.0,36404.4163023,0.0,1.0,"Q data from Basel, Rheinhalle id_2289 since 1995; without any correction factor"
2615,2615.0,,,,,"Basel, Klingenthalfähre",Rhein,2611140,1267900,7.59,47.56,35926.0,79.4,,ok,,,,,,,,,,,,
2617,2617.0,,,,,Müstair,Rom,2830800,1168700,10.45,46.63,128.6,42.6,ok,ok,,,,,,,,,,,,
2623,2623.0,,,,,Oberwald,Rhone,2669900,1154075,8.35,46.53,93.3,100.0,,,,,,,,,,,,,,
2634,2634.0,6169.0,1181.0,,,Emmen,Kleine Emme,2663700,1213630,8.28,47.07,478.3,100.0,ok,ok,Emmen,2663700.0,1213630.0,478.3,0.0,Emmen-Littau,2663917.0,1213356.0,478.277164685,0.6,1.0,station was moved from Littau to Emmen in 2013; Q data without correction factor; including data from Littau id_2425
2635,2635.0,,,,,"Einsiedeln, Gross",Grossbach,2700710,1218125,8.77,47.11,8.9,100.0,ok,ok,,,,,,,,,,,,Station moved in 2012?
2640,,,1504.0,,,"Delémont, Pré-Guillaume",Sorne,2593380,1245940,7.35,47.36,213.9,100.0,"ok, replacement of Delemont id_2479 2020 1.1.2020",ok,,,,,,Delémont,2593800.0,1246600.0,213.93,0.7,1.0,
