date_start,date_end,alk,As,Ba,Br,Cd,Ca,Cl,Cr,Cu,doc,drp,ec25_sensor,ec20_lab,F,Fe,Pb,Mg,q_mean_sensor,Hg,Ni,NO3_N,O2C_sensor,O2S_sensor,pH_lab,pH_sensor,K,H4SiO4,Na,Sr,SO4,tfp,th,tn,toc,tp,tss,temp_sensor,Zn
1982-10-04 06:10:00,1982-10-18 06:10:00,2.48,,,,,53.3064,4.1,,,1.9,0.013,303.8538,281.0,,,,4.86,194.7911,,,1.0,9.735,99.3406,8.09,7.81,1.3,4.8,3.0,,27.0,,1.53,1.4244,,0.061,17.3,13.734,
1982-10-18 06:40:00,1982-11-01 06:40:00,2.76,,,,,58.9176,3.8,,,1.9,0.006,337.4661,308.0,,,,5.103,182.9805,,,1.21,9.0165,89.2091,8.05,7.8405,1.32,5.6,3.1,,28.0,,1.68,1.5633,,0.06,9,12.3631,
1982-11-01 06:45:00,1982-11-15 06:45:00,2.9,,,,,61.3224,4.6,,,1.9,0.004,355.8502,323.0,,,,6.318,111.4791,,,1.16,8.8704,85.6032,8.23,7.8177,1.41,6.3,3.7,,31.0,,1.79,1.4947,,0.046,5.5,11.283,
1982-11-15 06:40:00,1982-11-29 06:40:00,2.9,,,,,62.5248,5.7,,,1.8,0.019,363.6259,320.0,,,,5.832,109.8613,,,1.4,9.2662,86.0485,8.32,7.7409,1.54,7.0,4.0,,31.0,,1.8,1.771,,0.049,3.8,9.6571,
1982-11-29 06:50:00,1982-12-13 06:50:00,2.89,,,,,62.5248,5.7,,,1.8,0.025,363.3044,338.0,,,,5.589,107.1194,,,1.26,9.4703,86.2774,8.25,7.7538,1.28,7.0,4.2,,32.0,,1.79,1.6215,,0.051,5,8.8659,
1982-12-13 06:50:00,1982-12-27 07:50:00,2.94,,,,,62.9256,5.5,,,6.1,0.019,353.4964,316.0,,,,5.589,196.7659,,,1.41,10.4502,91.2786,8.26,7.8388,1.46,6.6,3.7,,30.0,,1.8,1.94,11.5,0.067,19.8,7.16,
1988-01-04 08:30:00,1988-01-18 08:30:00,3.0,,,,,65.3304,7.1,,,1.5,0.014,,343.0,,,,6.5664,103.8464,,,1.74,,,8.36,,1.43,6.2,4.6,,35.0,,1.9,2.19,2.3,0.03,5.3,7.1858,
1988-01-18 08:00:00,1988-02-01 08:00:00,2.97,,,,,63.7272,7.9,,,1.7,0.029,,354.0,,,,6.08,93.5213,,,1.79,,,8.38,,1.51,6.2,5.2,,35.0,,1.84,2.51,2.5,0.039,5,7.0477,
1988-02-01 08:30:00,1988-02-15 08:30:00,3.12,,,,,64.9296,8.6,,,1.5,0.024,,363.0,,,,6.8096,130.8895,,,2.14,,,8.26,,1.69,6.1,5.3,,33.0,,1.9,2.67,3.3,0.044,9,6.1084,
1988-02-15 08:45:00,1988-02-29 07:45:00,3.14,,,,,65.3304,8.6,,,1.7,0.018,,348.0,,,,7.0528,102.1046,,,2.12,,,8.34,,1.64,5.8,5.5,,31.0,,1.92,2.52,2.3,0.042,3.3,6.0549,
