Site,Date,Secchi depth [m]
Gandria,05.09.2000,2.8
Gandria,26.09.2000,3
Gandria,10.10.2000,3.4
Gandria,24.10.2000,3.7
Gandria,08.11.2000,4.6
Gandria,21.11.2000,5
Gandria,05.12.2000,7.1
Gandria,19.12.2000,7.8
Gandria,09.01.2001,9.3
Gandria,23.01.2001,11.6
Gandria,06.02.2001,11
Gandria,19.02.2001,7.1
Gandria,06.03.2001,8.1
Gandria,20.03.2001,3.7
Gandria,03.04.2001,4.5
Gandria,17.04.2001,5.7
Gandria,03.05.2001,8.6
Gandria,15.05.2001,7.2
Gandria,08.06.2001,7.3
Gandria,20.06.2001,5.5
Gandria,17.07.2001,4.5
Gandria,24.07.2001,3.7
Gandria,07.08.2001,4.2
Gandria,06.09.2001,3
Gandria,11.09.2001,2.7
Gandria,26.09.2001,3.2
Gandria,12.10.2001,3.1
Gandria,23.10.2001,4.5
Gandria,06.11.2001,5.6
Gandria,20.11.2001,5.5
Gandria,04.12.2001,6.2
Gandria,18.12.2001,6.8
Gandria,08.01.2002,9.2
Gandria,22.01.2002,9.7
Gandria,04.02.2002,9.2
Gandria,19.02.2002,8.1
Gandria,06.03.2002,6.6
Gandria,20.03.2002,2.9
Gandria,02.04.2002,4.1
Gandria,16.04.2002,6.1
Gandria,06.05.2002,3
Gandria,21.05.2002,3.2
Gandria,07.06.2002,5
Gandria,25.06.2002,3.6
Gandria,09.07.2002,3.2
Gandria,23.07.2002,5.7
Gandria,09.08.2002,8.1
Gandria,20.08.2002,5.9
Gandria,03.09.2002,4.5
Gandria,24.09.2002,3.3
Gandria,08.10.2002,4.2
Gandria,22.10.2002,5.7
Gandria,05.11.2002,6.1
Gandria,19.11.2002,3
Gandria,04.12.2002,3.7
Gandria,17.12.2002,6.5
Gandria,07.01.2003,9
Gandria,28.01.2003,9
Gandria,04.02.2003,8.6
Gandria,17.02.2003,8.5
Gandria,10.03.2003,7.8
Gandria,25.03.2003,3.3
Gandria,07.04.2003,3.7
Gandria,22.04.2003,2.4
Gandria,05.05.2003,2.7
Gandria,20.05.2003,2.9
Gandria,02.06.2003,2.8
Gandria,17.06.2003,4.7
Gandria,14.07.2003,7.3
Gandria,28.07.2003,4.5
Gandria,11.08.2003,3.9
Gandria,26.08.2003,4.5
Gandria,10.09.2003,7.5
Gandria,24.09.2003,7.5
Gandria,09.10.2003,7.7
Gandria,20.10.2003,6.7
Gandria,04.11.2003,6.6
Gandria,18.11.2003,11.6
Gandria,03.12.2003,11.7
Gandria,16.12.2003,10.8
Gandria,13.01.2004,15.7
Gandria,27.01.2004,16.6
Gandria,10.02.2004,13.5
Gandria,24.02.2004,11.3
Gandria,09.03.2004,10
Gandria,23.03.2004,4.9
Gandria,05.04.2004,2.7
Gandria,20.04.2004,4.3
Gandria,04.05.2004,7.2
Gandria,18.05.2004,11.3
Gandria,02.06.2004,5.6
Gandria,15.06.2004,7.5
Gandria,13.07.2004,6.5
Gandria,27.07.2004,5.7
Gandria,10.08.2004,6.1
Gandria,24.08.2004,5.5
Gandria,07.09.2004,5.4
Gandria,21.09.2004,6.4
Gandria,05.10.2004,5
Gandria,19.10.2004,5.5
Gandria,02.11.2004,7.6
Gandria,16.11.2004,8.6
Gandria,30.11.2004,9.5
Gandria,14.12.2004,9.6
Gandria,18.01.2005,10.9
Gandria,01.02.2005,11.9
Gandria,15.02.2005,11.2
Gandria,01.03.2005,7
Gandria,14.03.2005,11.3
Gandria,30.03.2005,2.8
Gandria,11.04.2005,2.8
Gandria,27.04.2005,4.8
Gandria,09.05.2005,10.9
Gandria,24.05.2005,13.5
Gandria,08.06.2005,4.5
Gandria,21.06.2005,6.6
Gandria,13.07.2005,5.3
Gandria,27.07.2005,5.4
Gandria,10.08.2005,4.2
Gandria,24.08.2005,4.6
Gandria,06.09.2005,4.2
Gandria,20.09.2005,6.8
Gandria,04.10.2005,6.4
Gandria,18.10.2005,8.3
Gandria,09.11.2005,12
Gandria,22.11.2005,12.5
Gandria,05.12.2005,14.6
Gandria,13.12.2005,13.3
Gandria,10.01.2006,13.3
Gandria,25.01.2006,10.3
Gandria,06.02.2006,5.6
Gandria,21.02.2006,13.7
Gandria,07.03.2006,14.9
Gandria,21.03.2006,14.6
Gandria,03.04.2006,2.9
Gandria,25.04.2006,2.9
Gandria,08.05.2006,5.3
Gandria,22.05.2006,10
Gandria,07.06.2006,7.9
Gandria,20.06.2006,6.8
Gandria,18.07.2006,4.7
Gandria,25.07.2006,5.6
Gandria,08.08.2006,4.9
Gandria,22.08.2006,6.3
Gandria,05.09.2006,5.9
Gandria,19.09.2006,6.6
Gandria,04.10.2006,8.2
Gandria,24.10.2006,8.8
Gandria,07.11.2006,10
Gandria,20.11.2006,11.2
Gandria,05.12.2006,14.8
Gandria,19.12.2006,8
Gandria,09.01.2007,12.9
Gandria,23.01.2007,13.7
Gandria,06.02.2007,11.3
Gandria,26.02.2007,7.1
Gandria,13.03.2007,4.6
Gandria,26.03.2007,5.1
Gandria,11.04.2007,4.4
Gandria,23.04.2007,7
Gandria,11.05.2007,8.2
Gandria,21.05.2007,7.2
Gandria,06.06.2007,6.5
Gandria,18.06.2007,6.8
Gandria,10.07.2007,5.1
Gandria,23.07.2007,5.7
Gandria,07.08.2007,4.1
Gandria,20.08.2007,3.5
Gandria,03.09.2007,3.9
Gandria,17.09.2007,5.4
Gandria,02.10.2007,6.4
Gandria,15.10.2007,5.5
Gandria,06.11.2007,9.2
Gandria,19.11.2007,11
Gandria,05.12.2007,12.7
Gandria,18.12.2007,14.5
Gandria,09.01.2008,16.1
Gandria,21.01.2008,16.6
Gandria,04.02.2008,11.8
Gandria,18.02.2008,12.5
Gandria,04.03.2008,8.5
Gandria,17.03.2008,5.9
Gandria,01.04.2008,3
Gandria,14.04.2008,4.1
Gandria,06.05.2008,9
Gandria,19.05.2008,4.1
Gandria,03.06.2008,8.2
Gandria,16.06.2008,8.5
Gandria,08.07.2008,3.7
Gandria,21.07.2008,3.3
Gandria,05.08.2008,3.1
Gandria,18.08.2008,3.2
Gandria,02.09.2008,2.9
Gandria,15.09.2008,5.2
Gandria,06.10.2008,6
Gandria,20.10.2008,8.3
Gandria,04.11.2008,6.5
Gandria,17.11.2008,5.1
Gandria,04.12.2008,9.2
Gandria,15.12.2008,13.8
Gandria,15.01.2009,16.8
Gandria,26.01.2009,16.8
Gandria,11.02.2009,16.5
Gandria,23.02.2009,14.3
Gandria,10.03.2009,8.3
Gandria,23.03.2009,4.3
Gandria,06.04.2009,4
Gandria,20.04.2009,7.7
Gandria,05.05.2009,11.1
Gandria,18.05.2009,7.3
Gandria,02.06.2009,6.2
Gandria,15.06.2009,9.7
Gandria,14.07.2009,2.1
Gandria,27.07.2009,4
Gandria,11.08.2009,5
Gandria,17.08.2009,4.3
Gandria,08.09.2009,3.4
Gandria,21.09.2009,4
Gandria,06.10.2009,5.6
Gandria,19.10.2009,7
Gandria,09.11.2009,10.3
Gandria,17.11.2009,12.1
Gandria,01.12.2009,6.9
Gandria,14.12.2009,8.2
Gandria,12.01.2010,12.3
Gandria,25.01.2010,12.5
Gandria,09.02.2010,15.5
Gandria,22.02.2010,15
Gandria,09.03.2010,14.4
Gandria,22.03.2010,6.3
Gandria,06.04.2010,4.4
Gandria,19.04.2010,5.2
Gandria,04.05.2010,10.1
Gandria,17.05.2010,6
Gandria,08.06.2010,7.5
Gandria,21.06.2010,7.5
Gandria,14.07.2010,4.1
Gandria,26.07.2010,2.7
Gandria,10.08.2010,2.8
Gandria,23.08.2010,4
Gandria,07.09.2010,4.7
Gandria,20.09.2010,4.5
Gandria,07.10.2010,7.3
Gandria,18.10.2010,7.4
Gandria,10.11.2010,10.1
Gandria,22.11.2010,10.6
Gandria,06.12.2010,12.8
Gandria,20.12.2010,11.8
Gandria,13.01.2011,12.8
Gandria,31.01.2011,12.7
Gandria,17.02.2011,6.3
Gandria,28.02.2011,12.7
Gandria,17.03.2011,4.6
Gandria,28.03.2011,3.4
Gandria,13.04.2011,9
Gandria,26.04.2011,9.2
Gandria,10.05.2011,9.8
Gandria,23.05.2011,5.5
Gandria,10.06.2011,8.6
Gandria,20.06.2011,6.2
Gandria,12.07.2011,4.8
Gandria,25.07.2011,5.3
Gandria,11.08.2011,4.7
Gandria,22.08.2011,4.5
Gandria,06.09.2011,4
Gandria,19.09.2011,4.1
Gandria,06.10.2011,6
Gandria,17.10.2011,5.6
Gandria,09.11.2011,4.6
Gandria,21.11.2011,4.7
Gandria,05.12.2011,4.3
Gandria,19.12.2011,5.1
Gandria,10.01.2012,7.2
Gandria,23.01.2012,8
Gandria,14.02.2012,11.7
Gandria,27.02.2012,9.6
Gandria,13.03.2012,7.7
Gandria,26.03.2012,2.3
Gandria,10.04.2012,5.3
Gandria,23.04.2012,4.9
Gandria,08.05.2012,7.6
Gandria,21.05.2012,4.8
Gandria,06.06.2012,10.8
Gandria,18.06.2012,10.4
Gandria,12.07.2012,8.1
Gandria,23.07.2012,5
Gandria,09.08.2012,3.4
Gandria,20.08.2012,3.8
Gandria,06.09.2012,5.5
Gandria,17.09.2012,6.8
Gandria,04.10.2012,6
Gandria,22.10.2012,4.5
Gandria,08.11.2012,4.7
Gandria,19.11.2012,4.7
Gandria,06.12.2012,5
Gandria,17.12.2012,5.1
Gandria,08.01.2013,6.6
Gandria,21.01.2013,6.4
Gandria,05.02.2013,6.6
Gandria,18.02.2013,8.9
Gandria,07.03.2013,8.3
Gandria,25.03.2013,5.7
Gandria,11.04.2013,5.3
Gandria,22.04.2013,3.4
Gandria,08.05.2013,5.9
Gandria,21.05.2013,9.5
Gandria,06.06.2013,6.2
Gandria,17.06.2013,8.6
Gandria,11.07.2013,4.9
Gandria,22.07.2013,5.3
Gandria,08.08.2013,5.9
Gandria,19.08.2013,6.4
Gandria,05.09.2013,3.2
Gandria,16.09.2013,6
Gandria,08.10.2013,10.6
Gandria,21.10.2013,10.3
Gandria,05.11.2013,8.1
Gandria,18.11.2013,8.8
Gandria,03.12.2013,8.9
Gandria,16.12.2013,7.9
Gandria,14.01.2014,7.7
Gandria,27.01.2014,7.5
Gandria,11.02.2014,10.4
Gandria,25.02.2014,7.4
Gandria,11.03.2014,6.1
Gandria,25.03.2014,5.2
Gandria,08.04.2014,5.1
Gandria,22.04.2014,11
Gandria,06.05.2014,11.3
Gandria,19.05.2014,7.5
Gandria,03.06.2014,5.7
Gandria,16.06.2014,4.3
Gandria,08.07.2014,4.7
Gandria,21.07.2014,4.3
Gandria,05.08.2014,4
Gandria,25.08.2014,4.1
Gandria,09.09.2014,7.7
Gandria,22.09.2014,6.3
Gandria,09.10.2014,6.5
Gandria,20.10.2014,4.8
Gandria,06.11.2014,5.5
Gandria,17.11.2014,4.1
Gandria,02.12.2014,4.3
Gandria,15.12.2014,4
Gandria,15.01.2015,4.3
Gandria,26.01.2015,5.6
Gandria,10.02.2015,10.8
Gandria,23.02.2015,12.5
Gandria,10.03.2015,13.7
Gandria,23.03.2015,7.9
Gandria,14.04.2015,9.2
Gandria,27.04.2015,13.6
Gandria,11.05.2015,8.8
Gandria,26.05.2015,5.2
Gandria,09.06.2015,7
Gandria,22.06.2015,4.2
Gandria,07.07.2015,4.7
Gandria,27.07.2015,5.9
