date,NH4_N,Cl,q_max_kanton,q_min_kanton,q_mean_kanton,q_mean_sensor,doc,ec25_lab,ec25_sensor,tp,tn,NO3_N,NO2_N,drp,pH_lab,pH_sensor,O2_lab,O2_sensor,O2S_sensor,turbidity_sensor,temp_lab,temp_sensor
2018-06-25 15:06:00,<0.01,<2.0,,,33.6,31.6133,0.76,141.0,,0.01,,0.22,<0.003,<0.008,7.4,,10.9,,,,9.9,9.852
2018-07-24 12:04:00,0.041,2.6,,,48.9,38.9281,0.56,106.0,,0.892,,0.22,<0.003,<0.008,8.2,,11.2,,,,8.6,7.986
2018-08-28 12:57:00,0.038,<2.0,,,20.0,21.1674,0.69,153.0,,0.022,,0.244,0.006,0.018,7.9,,10.8,,,,9.05,8.789
2018-09-24 07:14:00,0.023,<2.0,,,19.9,33.2972,0.86,135.0,,0.52,,<0.2,<0.003,0.61,8.5,,10.6,,,,9.2,8.912
2018-10-30 10:25:00,0.044,5.2,,,15.1,28.4989,2.31,188.0,,0.193,,0.64,0.006,<0.008,8.2,,11.0,,,,6.25,5.785
2018-11-25 07:26:00,0.068,5.3,,,4.57,4.5596,0.61,300.0,,<0.008,,0.633,<0.003,<0.008,8.0,,10.5,,,,2.95,3.768
2018-12-18 16:04:00,0.022,2.3,,,4.78,7.2181,0.79,294.0,,0.075,,0.39,<0.003,<0.008,8.1,,12.5,,,,2.5,2.32
2019-01-28 16:31:00,0.061,2.15,,,15.7,22.5491,<0.5,117.0,,0.008,,0.2,<0.003,<0.008,7.6,,11.7,,,,3.85,3.451
2019-02-26 08:04:00,0.09,2.3,,,8.42,23.0685,0.54,126.0,,0.041,,0.39,<0.003,<0.008,7.8,,12.0,,,,4.0,3.236
2019-03-25 16:48:00,0.11,2,,,10.4,9.284,0.61,144.0,,0.008,,0.38,<0.003,<0.008,7.9,,11.0,,,,5.6,4.496
2019-04-29 15:57:00,0.09,8.55,,,5.68,5.9612,1.42,253.0,,0.013,,0.75,0.005,<0.008,8.4,,11.2,,,,9.6,8.149
2019-05-27 15:44:00,0.043,4.55,,,9.87,9.5145,1.81,194.0,,0.014,,0.45,0.004,<0.008,8.1,,10.3,,,,11.2,10.268
2019-06-24 17:08:00,0.017,<2.0,,,32.8,44.5213,1.08,127.0,,0.054,,0.2,<0.003,<0.008,7.5,,10.1,,,,12.15,11.576
2019-07-30 18:59:00,0.027,<2.0,,,38.3,42.152,0.76,113.0,,0.091,,0.22,<0.003,<0.008,7.9,,10.3,,,,11.3,9.748
2019-08-26 16:18:00,0.02,3.1,,,31.1,35.2871,<0.5,101.0,,0.028,,<0.2,<0.003,<0.008,7.6,,10.9,,,,9.8,9.3
2019-09-23 06:33:00,0.068,12,,,95.2,8.4387,0.86,247.0,,0.03,,0.52,0.011,<0.008,7.8,,10.1,,,,11.0,10.6
2019-10-28 15:40:00,0.012,<2.0,,,15.4,25.8462,0.57,114.0,,0.036,,<0.2,<0.003,<0.008,7.5,,,,,,,8.02
2019-11-26 06:50:00,0.022,10.4,,,12.18,4.8842,1.99,288.0,,0.013,,0.85,<0.003,<0.008,7.8,,11.4,,,,9.8,5.27
2019-12-16 17:30:00,0.013,2.3,,,16.21,29.4234,0.91,154.0,,0.014,,0.27,<0.003,<0.008,7.5,,12.1,,,,4.4,3.78
2020-01-27 17:20:00,0.013,<2.0,,,,23.4691,0.6,143.0,,<0.008,,<0.2,<0.003,<0.008,7.5,,12.0,,,,4.1,3.39
2020-02-24 15:55:00,0.167,8.9,,,,4.3392,1.17,340.0,,0.013,,0.723,0.007,<0.008,8.5,,12.9,,,,6.9,6.13
2020-03-30 16:13:00,0.024,2.4,,,,22.5202,0.84,163.0,,0.01,,0.25,<0.003,<0.008,7.8,,12.2,,,,4.8,3.683
2020-04-27 16:08:00,0.046,4.6,,,,10.2997,1.12,201.0,,0.03,,0.72,0.004,<0.008,8.1,,10.9,,,,10.1,9.662
2020-05-25 15:45:00,0.035,2.8,,,,16.0173,0.82,183.0,,0.022,,0.35,<0.003,<0.008,7.9,,10.7,,,,10.9,10.48
2020-06-25 12:00:00,<0.01,<2.0,,,,23.9641,1.1,151.0,,0.041,,0.269,<0.003,<0.008,7.8,,9.8,,,,12.4,10.56
2020-07-27 16:25:00,<0.01,<2.0,,,,28.8484,0.76,115.0,,0.042,,<0.2,<0.003,<0.008,7.6,,10.0,,,,11.3,10.545
2020-08-31 16:25:00,0.022,2.1,,,,10.897,0.67,230.0,,0.024,,0.34,<0.003,<0.008,7.8,,10.4,,,,9.7,9.4
2020-09-28 17:31:00,0.022,<2.0,,,,15.3687,0.72,145.0,,0.011,,0.23,0.005,<0.008,7.7,,10.7,,,,7.9,7.166
2020-10-26 16:41:00,0.113,3.6,,,,11.4408,1.04,256.0,,0.034,,0.39,0.006,0.009,8.0,,11.0,,,,6.7,6.2
2020-11-23 15:47:00,0.045,2.9,,,,4.7863,0.58,253.0,,0.012,,0.36,<0.003,<0.008,8.0,,11.5,,,,6.4,4.575
2020-12-21 16:45:00,0.083,2.5,,,,8.8644,1.22,223.0,,0.012,,0.6,0.011,<0.008,7.8,,11.7,,,,4.1,3.7
